,index,genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,AudioSegments,SegDuration,SegConfidence,SegLoudnessStart,SegLoudnessMaxTime,SegLoudnessMax,SegLoudnessEnd,SegPitches0,SegPitches1,SegPitches2,SegPitches3,SegPitches4,SegPitches5,SegPitches6,SegPitches7,SegPitches8,SegPitches9,SegPitches10,SegPitches11,SegTimbre0,SegTimbre1,SegTimbre2,SegTimbre3,SegTimbre4,SegTimbre5,SegTimbre6,SegTimbre7,SegTimbre8,SegTimbre9,SegTimbre10,SegTimbre11
4356,125698,Classical,John Dowland,"Lady Rich, Her Galliard",39y37kTFNhraC6XKEdT8Qk,37,0.9670000000000001,0.295,117107,0.0247,0.825,F#,0.0925,-32.65,Major,0.0455,83.189,4/4,0.48200000000000004,354.0,0.29615,0.469,-37.453,0.01944,-31.017,0.0,0.207,0.618,0.256,0.457,0.606,0.655,0.338,0.214,1.0,0.076,0.074,0.153,24.175,-65.205,-2.282,47.369,29.599,-47.984,-17.413,2.719,4.791,-13.023,-5.654,-7.899
4357,128698,Classical,Wolfgang Amadeus Mozart,"Requiem, K. 626. Rex Tremendae Majestatis",3fpTN2sSTON8hRs0qpKAnP,21,0.9640000000000001,0.28,125507,0.149,0.696,G,0.11800000000000001,-17.86,Minor,0.0342,66.435,3/4,0.16399999999999998,374.0,0.23923,0.946,-29.876,0.19073,-13.536,0.0,0.077,0.073,0.216,0.107,0.067,0.058,0.249,1.0,0.445,0.177,0.288,0.112,37.915,-50.54,129.915,-116.246,43.925,-12.433,15.837,0.6,-4.445,9.367,27.557,-14.428
4358,125571,Classical,Franz Liszt,"Liebestraum, S. 541, No. 3",5kOXNkG9ZWAn69stILZxaR,38,0.982,0.2,275827,0.0377,0.907,D#,0.611,-25.808000000000003,Major,0.0428,75.12899999999999,3/4,0.0374,629.0,0.24998,0.812,-44.022,0.02776,-35.829,0.0,0.684,0.091,0.075,1.0,0.109,0.021,0.054,0.217,0.841,0.161,0.142,0.087,22.593,-62.622,40.733,3.537,-0.702,-30.297,-35.662,10.468,-29.064,-13.378,1.214,-26.983
4359,124050,Classical,Queensrÿche,Launder the Conscience,6H3OXhHmobJiFWXyheQz7t,39,0.000106,0.248,315400,0.872,0.00274,F#,0.154,-5.86,Minor,0.048,141.846,4/4,0.218,906.0,0.29615,0.687,-11.545,0.03577,-3.442,0.0,0.101,0.445,0.098,0.056,0.052,0.221,1.0,0.253,0.092,0.058,0.094,0.081,53.237,93.092,-7.488,-31.648,-16.298,-10.364,-10.42,16.802,-13.369,-9.097,6.838,8.145
4360,128423,Classical,Franz Schubert,"Impromptu in G-Flat Major, Op. 90, No. 3: Andante",7dKRdn4g9tQ5fj1QmIp3Gy,40,0.995,0.248,347627,0.0129,0.875,F#,0.0978,-29.526999999999997,Major,0.0376,112.022,4/4,0.12,805.0,0.18707,0.512,-45.008,0.02946,-40.633,0.0,0.197,0.777,0.088,0.077,0.135,0.674,0.219,0.156,1.0,0.118,0.095,0.397,18.469,-100.937,-6.498,-30.573,43.161,-30.8,-35.187,2.471,-56.051,-12.593,3.98,-25.25
4361,130221,Classical,William Walton,Symphony No. 1: I. Allegro assai,0R8GFVEiXNQuiDC5XFVZRH,23,0.934,0.218,827840,0.135,0.905,F,0.105,-20.525,Minor,0.0376,112.25399999999999,4/4,0.0386,2420.0,0.24376,0.185,-33.222,0.03002,-30.232,0.0,1.0,0.464,0.072,0.431,0.057,0.044,0.096,0.396,0.323,0.083,0.134,0.317,28.443,-53.209,26.302,-17.977,4.008,-29.95,-10.011,-12.227,-6.94,-6.635,8.796,2.698
4362,128900,Classical,Ludwig van Beethoven,"Symphony No. 5 in C Minor, Op. 67: 4. Allegro",4IHaNEgvWUD63pMTWrclb2,32,0.9490000000000001,0.24100000000000002,650533,0.33799999999999997,0.8290000000000001,C,0.364,-13.37,Major,0.0361,80.051,4/4,0.314,2137.0,0.10399,0.037,-18.215,0.02544,-15.038,0.0,0.437,0.479,0.616,0.307,0.297,0.223,0.41,1.0,0.464,0.322,0.272,0.3,43.549,-15.231,69.369,12.975,21.233,-28.341,18.543,-6.591,-10.706,2.657,-0.355,11.606
4363,104255,Classical,Wolfgang Amadeus Mozart,Fantasia - Violin Version,4SYh4FlkURedcAAvY42sb9,5,0.983,0.161,368000,0.125,0.9229999999999999,F,0.147,-14.945,Major,0.0403,87.569,4/4,0.153,1436.0,0.17356,0.025,-21.473,0.07962,-17.951,0.0,0.016,0.049,1.0,0.042,0.005,0.055,0.014,0.042,0.005,0.06,0.01,0.006,40.874,-20.907,43.523,-17.142,20.503,-35.433,-44.498,-4.967,-20.26,13.748,0.217,-0.76
4364,125697,Classical,Howard Shore,The Foot Of Orthanc,5H1MVcElNau4Odi2inVcsL,40,0.722,0.142,284987,0.136,0.909,D,0.311,-23.768,Major,0.0362,84.001,3/4,0.0562,712.0,0.2668,0.051,-25.044,0.06866,-22.526,0.0,0.354,0.451,1.0,0.332,0.13,0.101,0.181,0.067,0.058,0.116,0.054,0.165,36.361,-4.572,26.22,-23.266,-24.987,-27.837,-3.017,-4.362,-8.149,-0.565,-1.274,3.782
4365,129753,Classical,Manuel de Falla,"La vida breve, Act I: ¡Ah, ande la tarea, que hay que trabajar!",4PwWDk8TDBRKqEPUrWZD4y,4,0.9590000000000001,0.276,430267,0.0434,0.000442,A,0.0697,-25.826999999999998,Minor,0.0424,88.13600000000001,4/4,0.0387,1275.0,0.38218,0.243,-45.01,0.09671,-41.273,0.0,1.0,0.091,0.287,0.9,0.656,0.537,0.513,0.539,0.217,0.387,0.069,0.242,17.397,-65.267,28.316,-35.153,71.126,-33.695,-31.357,-0.478,-20.73,-0.608,11.044,-12.347
4366,127312,Classical,Ravi Shankar,Raga Kausi Kanhara,5pPPEnTGUHrMPu6PAplZuH,31,0.902,0.29,1245193,0.0668,0.000685,F#,0.0747,-18.822,Major,0.0357,86.87200000000001,4/4,0.0854,3202.0,0.72,0.431,-24.669,0.01814,-19.561,0.0,1.0,0.551,0.169,0.094,0.031,0.029,0.17,0.325,0.046,0.025,0.026,0.567,36.916,10.175,-14.568,15.794,41.568,-35.757,-31.358,-37.552,-2.882,13.159,-7.499,15.436
4367,126089,Classical,Hector Berlioz,"Roméo et Juliette, Op. 17, H 79, Pt. 2: No. 4, La Reine Mab, ou la Fée des Songes",1q2pBgkuK1Ia2knXZoGQbL,0,0.9359999999999999,0.251,490933,0.0846,0.799,F,0.226,-30.664,Major,0.0474,95.29299999999999,4/4,0.0902,1930.0,0.12617,0.743,-42.263,0.03442,-33.951,0.0,0.192,0.064,0.131,1.0,0.28,0.055,0.042,0.18,0.652,0.187,0.156,0.115,22.891,-180.106,16.132,22.699,112.512,-27.446,3.929,41.637,-11.524,5.655,-9.798,-23.669
